Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0426945929688825,0.00148737267167587,-0.0241809712463922,0,0,0,0.726960641971639,0.00202387675557671,-2.18611654062212E-08,1.2130451382306E-05,0.00164792867318008,3.54546390126014E-08,0.000708359308471812,0,0,0,0,0,0,package://ATOM02/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/base_link.STL,,RB000015_髋关节一号-1;RB000016_髋关节二号左侧-1;RB000017_髋关节二号右侧-1;RB000018_髋关节三号-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thigh_pitch_link,0.00433081783795993,-0.00846409127354864,1.15359525446057E-05,0,0,0,0.556662079227767,0.000782365302350768,4.84873446155365E-06,-3.09593908313517E-07,0.000621188365116633,-4.21109567583539E-07,0.000491343788931523,0,0,0,0,0,0,package://ATOM02/meshes/left_thigh_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/left_thigh_pitch_link.STL,,RB000019_髋关节四号-1;PA81-18-25-4,axis1&2,pole1&7,left_thigh_pitch_joint,revolute,0.043915,0.1286,-0.036743,0,0,0,base_link,0,-1,0,140,1.2,-2.862,2.862,,,,,,,,
left_thigh_roll_link,0.00427363423171547,-0.0040249982403292,-0.0129865815538047,0,0,0,2.90711030732957,0.00529561668892011,1.18984962329085E-05,0.000407694401000354,0.0047953710862394,6.0170982434569E-05,0.00380163050510438,0,0,0,0,0,0,package://ATOM02/meshes/left_thigh_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/left_thigh_roll_link.STL,,RB000020_髋关节五号左侧-1,axis1&2,pole2,left_thigh_roll_joint,revolute,0,0,0,0,0,0,left_thigh_pitch_link,-1,0,0,140,12,-0.1745,2.6878,,,,,,,,
left_thigh_yaw_link,-0.00897791991505894,0.000916285170142084,-0.313717683033613,0,0,0,25.7162947988607,0.0948506509369848,-4.16548066779511E-06,0.00299006504700362,0.103244360790178,-1.21228452751151E-05,0.0359272387743077,0,0,0,0,0,0,package://ATOM02/meshes/left_thigh_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/left_thigh_yaw_link.STL,,RB000022_髋关节六号左腿左侧-1;RB000023_髋关节六号左腿右侧-1,axis3,pole3,left_thigh_yaw_joint,revolute,0.020233,0,0,0,0,0,left_thigh_roll_link,0,0,1,140,12,0,0,,,,,,,,
left_knee_link,0.0180038551048904,4.27446807210741E-06,0.143728685313681,0,0,0,27.435138431354,0.19109647690543,-4.290950553685E-06,0.0204951326710817,0.193676714103819,1.89041075890612E-06,0.0357972120863498,0,0,0,0,0,0,package://ATOM02/meshes/left_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/left_knee_link.STL,,RB000026_小腿左腿左侧-1;RB000027_小腿左腿右侧-1;11.7小腿背橡胶-1,axis4,pole4&a,left_knee_joint,revolute,-0.0259105994324788,0,-0.315911806813306,0,0,0,left_thigh_yaw_link,0,1,0,140,12,0,0,,,,,,,,
left_ankle_pitch_link,-0.000916659331079805,2.3285817718488E-12,-0.0142487687135151,0,0,0,0.177201152706737,3.70740830561522E-05,-5.23209475072894E-15,1.17792095942394E-06,4.4848581605785E-05,1.79864768166072E-15,2.57294694712308E-05,0,0,0,0,0,0,package://ATOM02/meshes/left_ankle_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://ATOM02/meshes/left_ankle_pitch_link.STL,,RB000033_脚底十字轴-1,axis5,pol5&b,left_ankle_pitch_joint,revolute,0.00538908374941682,0,-0.310500012478865,0,0,0,left_knee_link,0,-1,0,60,12,0,0,,,,,,,,
left_ankle_roll_link,0.029826,5.0235E-08,-0.032259,0,0,0,1.3391,0.00060191,-1.1137E-08,-9.5275E-06,0.0043523,-1.3617E-09,0.0048758,0,0,0,0,0,0,package://ATOM02/meshes/left_ankle_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ATOM02/meshes/left_ankle_roll_link.STL,,RB000036_脚底固定三号-1;脚底塑料-1,axis6,pole6,left_ankle_roll_joint,revolute,0.000288640584767348,0,-0.018968626966601,0,0,0,left_ankle_pitch_link,1,0,0,60,12,0,0,,,,,,,,
right_thigh_pitch_link,0.00433081783180763,0.0084662133507678,4.58152789528654E-06,0,0,0,0.556662079541713,0.000782365302456949,-4.88129816265433E-06,6.22344602989384E-08,0.000621131039483757,-2.07985201226261E-07,0.000491401114699619,0,0,0,0,0,0,package://ATOM02/meshes/right _thigh_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/right _thigh_pitch_link.STL,,RB000019_髋关节四号-2;PA81-18-25-5,axis7&8,pole1&7,right _thigh_pitch_joint,revolute,0.043915,-0.1256,-0.036743,0,0,0,base_link,0,-1,0,140,12,0,0,,,,,,,,
right_thigh_roll_link,0.00428556068904451,0.00402674942751025,-0.012964969034475,0,0,0,2.90779917980452,0.00530370686611715,-1.1623698905934E-05,0.000409588470871039,0.00480376256189392,-6.02730534140875E-05,0.00380179640828706,0,0,0,0,0,0,package://ATOM02/meshes/right_thigh_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/right_thigh_roll_link.STL,,RB000021_髋关节五号右侧-1,axis7&8,pole8,right_thigh_roll_joint,revolute,0,0,0,0,0,0,right _thigh_pitch_link,-1,0,0,140,12,0,0,,,,,,,,
right_thigh_yaw_link,-0.00941357789851324,-2.7930899234585E-06,-0.324209334803403,0,0,0,24.4949645811454,0.0942870987620172,-3.00173897077374E-07,0.00299021442043283,0.102194221967935,5.6993784052523E-07,0.035073890298566,0,0,0,0,0,0,package://ATOM02/meshes/right_thigh_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/right_thigh_yaw_link.STL,,RB000024_髋关节六号右腿左侧-1;RB000025_髋关节六号右腿右侧-1,axis9,pole9,right_thigh_yaw_joint,revolute,0.0202328750983638,0,0,0,0,0,right_thigh_roll_link,0,0,1,140,12,0,0,,,,,,,,
